infections,dead,recovered,infected
1,0,0,1
1,0,0,1
1,0,0,1
2,0,0,2
2,0,0,2
2,0,0,2
7,0,0,7
7,0,0,7
9,0,0,9
12,0,0,12
15,0,0,15
17,0,0,17
19,0,0,19
24,0,1,23
28,0,1,27
33,0,1,32
40,0,2,39
46,0,2,45
51,1,3,48
56,1,6,53
64,1,8,58
72,1,9,64
84,1,12,74
93,2,15,81
106,2,16,90
117,2,20,99
125,4,23,104
143,5,26,120
154,5,31,129
168,5,38,136
190,5,44,148
204,6,46,159
218,6,56,166
235,6,61,177
247,7,71,185
268,7,82,195
286,8,92,205
310,9,102,217
340,9,111,236
359,9,126,244
384,9,142,258
410,9,150,273
438,9,169,287
471,12,182,303
503,13,194,322
534,14,211,336
559,15,223,349
594,16,240,371
625,19,254,388
667,19,279,410
715,22,300,437
755,24,323,455
794,25,346,473
834,25,374,493
876,29,394,516
900,32,418,524
936,34,448,540
955,35,479,548
989,37,509,564
1019,40,531,576
1043,42,571,584
1080,47,601,606
1104,50,636,617
1126,53,684,629
1150,56,720,643
1178,58,751,658
1195,61,794,669
1208,62,825,676
1228,63,854,690
1241,64,880,697
1258,69,899,707
1279,70,932,718
1296,71,961,730
1319,73,984,751
1333,77,1012,759
1345,79,1035,767
1364,80,1058,780
1381,80,1081,792
1395,81,1108,803
1409,82,1119,815
1423,83,1133,826
1437,84,1153,835
1450,86,1160,847
1461,88,1181,857
1478,91,1194,871
1496,94,1217,889
1512,95,1235,903
1529,95,1244,914
1542,96,1256,925
1565,100,1273,945
1584,101,1287,961
1595,103,1299,967
1615,106,1312,986
1628,106,1322,995
1644,107,1338,1007
1657,110,1348,1015
1667,111,1359,1024
1678,112,1376,1031
1694,113,1389,1042
1703,114,1406,1047
1713,115,1424,1055
1721,115,1434,1060
1730,116,1461,1068
1748,117,1471,1080
1761,119,1484,1091
1776,119,1500,1100
1792,120,1515,1110
1804,121,1530,1119
1824,124,1537,1136
1838,124,1549,1145
1845,126,1562,1150
1859,127,1569,1162
1872,127,1581,1174
1885,128,1588,1186
1900,128,1598,1197
1910,128,1612,1203
1921,129,1626,1212
1936,130,1638,1223
1944,130,1650,1230
1957,131,1666,1241
1965,132,1682,1249
1977,133,1697,1259
1989,134,1708,1267
1997,136,1716,1273
2008,137,1727,1282
2016,139,1742,1287
2025,139,1754,1292
2036,139,1766,1297
2045,140,1773,1300
2054,142,1788,1306
2061,142,1797,1309
2068,142,1806,1313
2075,143,1819,1318
2079,144,1824,1320
2085,144,1840,1323
2089,145,1847,1325
2092,145,1856,1326
2099,146,1864,1331
2105,146,1874,1335
2112,148,1883,1337
2121,148,1895,1343
2124,148,1899,1345
2130,148,1909,1348
2136,148,1916,1351
2141,148,1925,1355
2144,148,1929,1357
2148,149,1933,1360
2155,149,1939,1365
2163,149,1943,1370
2170,150,1948,1374
2175,150,1951,1378
2184,150,1959,1385
2189,151,1965,1390
2199,152,1970,1398
2204,153,1974,1400
2210,156,1978,1404
2218,157,1981,1411
2225,158,1985,1415
2228,158,1990,1417
2237,158,1994,1423
2244,158,2000,1427
2245,158,2007,1427
2257,158,2015,1435
2258,158,2021,1435
2259,159,2029,1435
2263,160,2034,1436
2267,160,2043,1438
2272,161,2048,1440
2273,161,2051,1441
2273,161,2058,1441
2276,161,2067,1444
2281,161,2068,1447
2283,161,2080,1448
2284,161,2084,1449
2287,162,2088,1452
2288,163,2095,1453
2291,163,2095,1456
2291,163,2097,1456
2293,164,2102,1456
2294,164,2105,1457
2294,164,2108,1457
2296,164,2109,1459
2297,164,2110,1460
2298,164,2113,1461
2300,164,2118,1463
2302,164,2119,1465
2303,164,2122,1466
2304,164,2123,1467
2304,164,2126,1467
2306,164,2127,1468
2308,164,2127,1469
2309,164,2130,1470
2310,164,2130,1471
2311,164,2131,1472
2314,164,2132,1475
2314,164,2134,1475
2317,164,2134,1478
2320,164,2137,1481
2321,164,2138,1482
2323,164,2140,1484
