infections,dead,recovered,infected
1,0,0,1
1,0,0,1
1,0,0,1
2,0,0,2
2,0,0,2
2,0,0,2
3,0,0,3
3,0,0,3
4,0,0,4
5,0,0,5
5,0,0,5
5,0,0,5
5,0,0,5
6,0,1,6
6,0,1,6
7,0,2,7
7,0,2,7
8,0,2,8
10,0,2,9
11,0,3,10
11,0,3,10
13,1,4,11
14,1,4,12
16,1,4,13
18,1,4,14
21,1,5,17
22,1,5,18
27,1,5,22
29,1,6,23
30,1,7,24
34,1,8,26
37,1,9,29
41,1,10,32
44,1,11,34
48,1,13,36
53,1,14,41
58,1,17,45
67,1,19,51
74,1,21,56
78,1,26,58
84,1,26,62
91,1,28,67
94,1,31,69
102,1,36,75
108,1,38,77
113,1,40,79
119,2,42,82
122,2,50,83
135,3,55,91
141,3,58,94
147,4,67,97
156,4,70,103
163,4,76,105
168,4,84,108
176,5,87,112
187,7,91,115
194,7,98,120
197,7,104,120
207,9,109,127
214,10,111,131
218,11,116,132
221,11,128,135
222,12,131,135
224,12,140,137
226,14,146,138
226,14,151,138
226,15,158,138
227,15,164,138
228,15,175,138
228,15,180,138
230,16,184,139
230,17,195,139
230,18,199,139
231,18,202,140
233,18,203,141
234,18,205,141
234,18,206,141
235,18,208,142
235,18,208,142
235,18,208,142
235,18,210,142
236,18,210,143
236,18,211,143
236,19,211,143
237,19,211,144
237,19,211,144
237,19,213,144
238,19,215,145
238,19,215,145
238,19,215,145
239,19,216,146
239,19,216,146
240,19,216,147
240,19,216,147
240,19,217,147
240,19,217,147
240,19,217,147
240,19,218,147
241,19,218,147
241,19,218,147
241,19,219,147
241,19,219,147
241,19,219,147
241,19,220,147
241,19,221,147
241,19,221,147
241,19,221,147
241,19,221,147
241,19,221,147
241,19,221,147
241,19,222,147
241,19,222,147
241,19,222,147
241,19,222,147
241,19,222,147
241,19,222,147
241,19,222,147
241,19,222,147
241,19,222,147
241,19,222,147
241,19,222,147
241,19,222,147
241,19,222,147
241,19,222,147
241,19,222,147
241,19,222,147
241,19,222,147
241,19,222,147
241,19,222,147
241,19,222,147
241,19,222,147
241,19,222,147
241,19,222,147
241,19,222,147
241,19,222,147
241,19,222,147
241,19,222,147
241,19,222,147
241,19,222,147
241,19,222,147
241,19,222,147
241,19,222,147
241,19,222,147
241,19,222,147
241,19,222,147
241,19,222,147
241,19,222,147
241,19,222,147
241,19,222,147
241,19,222,147
241,19,222,147
241,19,222,147
241,19,222,147
241,19,222,147
241,19,222,147
241,19,222,147
241,19,222,147
241,19,222,147
241,19,222,147
241,19,222,147
241,19,222,147
241,19,222,147
241,19,222,147
241,19,222,147
241,19,222,147
241,19,222,147
241,19,222,147
241,19,222,147
241,19,222,147
241,19,222,147
241,19,222,147
241,19,222,147
241,19,222,147
241,19,222,147
241,19,222,147
241,19,222,147
241,19,222,147
241,19,222,147
241,19,222,147
241,19,222,147
241,19,222,147
241,19,222,147
241,19,222,147
241,19,222,147
241,19,222,147
241,19,222,147
241,19,222,147
241,19,222,147
241,19,222,147
241,19,222,147
241,19,222,147
241,19,222,147
241,19,222,147
241,19,222,147
241,19,222,147
241,19,222,147
241,19,222,147
241,19,222,147
241,19,222,147
241,19,222,147
